,m0,m12,a0,tanb,sgnmu,omega,g2,bsg,bsgSM,btanu,bmumu,dtanu,dmunu,drho,mdm,ov,sip,sdp,sin,sdn,m1,mh,mH,mA,mHpm,meL,mmL,mtaL,meR,mmR,mtaR,nue,num,nuta,muL,mcL,mtL,muR,mcR,mtR,mdL,msL,mbL,mdR,msR,mbR,tanbmz,neut1,neut2,neut3,neut4,chg1,chg2
0,3747.07,203.617,-3572.6,47.796,-1,0.156778,-2.0212e-10,0.000398121,2.32312e-310,0.835872,1.94823e-09,0.0516055,0,2.77252e-06,74.3542,3.36046e-28,8.32817e-09,0.00209371,8.31099e-09,0.0016018,595.136,119.001,854.243,854.226,858.921,3738.3,3737.03,2681.55,3743.9,3741.35,3251.66,3737.11,3735.84,3250.34,3725.03,3724.87,2145.44,3732.73,3732.72,2455.64,3725.76,3725.61,2445.24,3734.26,3733.97,2718.79,47.796,74.3542,119.09,147.145,229.267,107.629,230.089
1,9158.45,8913.25,-14770.2,40.6663,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,96.5301,1245.78,-569.82,33.7576,-1,0.0203696,-5.29606e-10,0.000378525,2.33381e-310,0.952691,1.99044e-09,0.0516698,0,2.82256e-06,352.756,1.42748e-25,1.31659e-05,0.0,0.00140563,0.0,2667.76,118.035,1181.66,1181.61,1184.35,832.037,831.986,352.756,476.574,476.388,810.708,827.965,827.913,799.382,2421.08,2421.05,1877.67,2317.48,2317.48,2157.82,2422.26,2422.24,2092.78,2305.84,2305.79,2150.98,33.7576,533.681,1006.71,1430.84,1436.54,1006.87,1437.26
3,5658.6,9320.66,24313.8,22.8,-1,196.253,-5.39646e-12,0.000327283,2.34793e-310,0.999669,3.12213e-09,0.051697,0,1.75989e-07,4338.21,1.44049e-31,2.78443e-12,1.11054e-10,2.84522e-12,1.03049e-10,17678.9,118.613,9532.35,9532.34,9532.63,8160.04,8159.66,5439.02,6594.7,6593.72,7719.59,8159.32,8158.93,7718.64,16514.2,16514.1,12997.8,15739.2,15739.1,15030.4,16514.3,16514.2,15028.4,15638.4,15638.2,15141.5,22.8,4338.21,7342.2,7348.35,7782.96,7342.47,7783.13
4,3362.32,3364.01,3217.39,23.5756,-1,67.113,-3.22332e-11,0.000330506,2.36453e-310,0.998194,3.09435e-09,0.0516962,0,6.51961e-07,1511.06,2.2703800000000002e-30,3.82125e-11,1.4071e-08,3.90119e-11,1.1847e-08,6878.04,118.908,4160.66,4160.63,4161.32,3993.91,3993.65,3399.07,3579.17,3578.6,3914.94,3992.78,3992.53,3913.5,6891.85,6891.79,5484.61,6645.15,6645.13,6272.35,6892.18,6892.12,6268.29,6615.13,6615.04,6428.46,23.5756,1511.06,2371.86,2378.37,2795.34,2371.82,2795.5
5,9897.9,929.652,304.93,38.7625,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,2444.81,5380.57,-5795.43,47.0238,1,0.0844299,2.86279e-11,0.000325845,2.34414e-310,0.992152,3.39168e-09,0.0516934,0,9.13055e-07,962.158,3.2767100000000004e-26,1.42548e-05,0.0,0.00155036,0.0,10520.9,120.391,3843.7,3843.67,3844.59,4227.91,4227.32,962.158,3145.4,3143.8,3664.62,4226.84,4226.25,3660.53,9657.02,9656.84,7188.18,9199.0,9198.98,8166.79,9657.23,9657.04,7950.03,9142.26,9141.89,8163.77,47.0238,2469.01,4493.36,5674.79,5677.31,4493.52,5677.62
7,5501.03,7213.42,-4510.71,11.9508,-1,207.514,-3.36425e-12,0.000327354,2.34109e-310,0.999912,3.1252e-09,0.0516971,0,1.5335e-07,3348.83,2.0565200000000002e-32,1.13433e-12,1.18134e-10,1.15938e-12,1.18781e-10,13992.4,120.295,9451.37,9451.38,9451.63,7151.58,7151.48,5999.43,6096.95,6096.71,7110.38,7150.81,7150.71,7109.54,13420.0,13420.0,10217.4,12844.0,12843.9,12173.5,13420.1,13420.1,12170.3,12771.7,12771.7,12650.9,11.9508,3348.83,6053.99,6523.25,6528.36,6054.15,6528.74
8,2143.23,4804.44,3808.89,28.3817,-1,11.9649,-2.70943e-11,0.000330065,2.3639e-310,0.997661,3.07635e-09,0.0516959,0,1.70445e-07,2178.29,5.281670000000001e-29,1.27588e-11,2.00146e-09,1.30247e-11,1.80538e-09,9465.39,119.234,4417.71,4417.68,4418.36,3756.84,3756.57,2542.73,2775.23,2774.49,3673.45,3755.67,3755.4,3671.7,8672.04,8671.96,7111.0,8264.8,8264.77,8002.42,8672.28,8672.2,7918.36,8213.85,8213.71,8001.4,28.3817,2178.29,3624.49,3632.37,3981.54,3624.65,3981.71
9,1009.03,2161.45,519.776,20.932,1,10.7776,8.14699e-11,0.000327402,2.36561e-310,0.996219,3.13521e-09,0.0516953,0,1.21916e-06,949.636,9.280520000000001e-30,3.16181e-11,1.03731e-08,3.24521e-11,1.07181e-08,4481.1,118.732,2492.87,2492.83,2494.23,1735.37,1735.3,1225.0,1288.46,1288.27,1713.77,1733.25,1733.18,1710.41,4139.5,4139.47,3318.02,3961.59,3961.58,3818.97,4140.14,4140.11,3805.62,3940.76,3940.72,3867.56,20.932,949.636,1761.07,2042.95,2054.56,1761.22,2054.66
